OrderID,CustomerID,DeliveryAddress,Latitude,Longitude,OrderTimestamp,OrderStatus,DriverID,RestaurantID,LocationID,DistanceKM,DeliveryHours,Timetakentodeliver,DeliveryTime
12,263,"555 Leach Fields
Gravesfurt, KS 69543",40.707795,-73.984479,08/09/2023 18:04,Pending,4,14,53,1.901614171,0.063387139,,
13,489,"319 Tina Harbors Suite 965
South Wayne, WV 71319",40.739339,-73.990584,08/09/2023 01:47,Delivered,24,5,14,3.222066604,0.10740222,54:06.6,08/09/2023 01:54
14,374,"42179 Steven Harbor
Port Briana, GU 83428",40.763777,-73.982855,30/08/2023 03:57,Delivered,42,4,65,5.98900665,0.199633555,09:18.7,30/08/2023 04:09
15,96,"63437 Bradley Well Suite 841
Joseville, NM 82601",40.780408,-73.981911,04/09/2023 20:40,Delivered,37,3,49,7.778571276,0.259285709,55:49.4,04/09/2023 20:55
16,350,"36273 John Crescent
Port Jenniferfurt, KY 32198",40.786186,-73.991387,25/08/2023 09:47,Pending,49,8,22,8.242360961,0.274745365,,
17,202,"464 Jennifer Cove
Josechester, SD 62325",40.699507,-73.989827,24/08/2023 09:43,Pending,44,3,99,2.01172772,0.067057591,,
18,63,"1018 Susan Ford
Wallacefort, ND 65085",40.739329,-73.981154,28/08/2023 18:32,Pending,19,2,21,3.617318528,0.120577284,,
19,210,"991 Cole Mission
Ryantown, NV 10199",40.748894,-74.000737,01/09/2023 23:21,Delivered,1,5,11,4.032774846,0.134425828,29:31.9,01/09/2023 23:29
20,87,"5215 Phillips Valley Suite 391
West Michael, HI 84026",40.729663,-73.995011,03/09/2023 19:42,Pending,17,20,55,2.0901399,0.06967133,,
21,129,"34974 Johnny Spur Suite 111
Amandaburgh, PW 51770",40.724226,-73.988819,13/09/2023 22:21,Pending,1,14,31,1.928021767,0.064267392,,
22,281,"6386 Reyes Hill
Rodriguezside, CA 51135",40.765947,-73.985883,21/08/2023 00:44,Pending,35,12,14,6.141649966,0.204721666,,
23,369,"89827 Bartlett Crest Suite 017
South Bonnie, NV 17721",40.722612,-73.992915,20/08/2023 17:42,Delivered,9,3,53,1.552281951,0.051742732,45:22.3,20/08/2023 17:45
24,324,"9924 Derrick Station
Port David, FM 60051",40.793716,-73.989951,12/09/2023 05:40,Pending,20,4,12,9.087288278,0.302909609,,
25,87,"2133 Leonard Ridge Suite 796
Garciastad, OH 11850",40.779682,-73.988788,25/08/2023 06:28,Pending,17,2,26,7.568101884,0.252270063,,
26,465,"36273 Scott Ville
Ashleyview, NE 65617",40.770739,-73.991196,27/08/2023 11:09,Pending,30,20,33,6.554436318,0.218481211,,
27,229,"67412 Smith Plains
Brandonberg, WA 96636",40.758734,-73.980122,19/08/2023 10:39,Delivered,22,14,72,5.549558186,0.184985273,50:10.9,19/08/2023 10:50
28,185,"365 Jeffrey Heights Apt. 473
Port Kimbury, SD 85495",40.736218,-73.996889,27/08/2023 19:15,Pending,1,5,12,2.712062645,0.090402088,,
29,167,"962 Craig Overpass
Port Michelleview, NE 89978",40.755054,-73.993253,22/08/2023 23:37,Pending,32,14,89,4.814217742,0.160473925,,
30,382,"7115 Gray Bridge Apt. 477
Millerton, IA 68392",40.729909,-73.984763,20/08/2023 00:38,Pending,4,11,78,2.613270139,0.087109005,,
31,487,"8934 Julie Cliff
North Peter, DE 57445",40.796876,-73.985661,04/09/2023 22:42,Delivered,6,12,33,9.493235535,0.316441184,01:58.2,04/09/2023 23:01
32,12,"USCGC Villegas
FPO AP 18580",40.790356,-73.996086,21/08/2023 13:32,Delivered,44,6,29,8.653123866,0.288437462,49:57.4,21/08/2023 13:49
33,112,"USNV Avila
FPO AA 40805",40.701281,-73.991356,02/09/2023 07:48,Pending,26,2,21,1.779804866,0.059326829,,
34,438,"34925 Roth Estates
Bernardton, TN 10534",40.754967,-73.989034,10/09/2023 17:34,Pending,10,10,42,4.897002913,0.16323343,,
35,408,"6144 Anthony Shore Suite 666
South Krista, PA 41004",40.743296,-73.996266,27/08/2023 07:36,Delivered,45,4,32,3.48494997,0.116164999,43:07.2,27/08/2023 07:43
36,266,"557 Samantha Mountain Apt. 997
East Kelseyberg, MD 79205",40.783924,-73.97995,06/09/2023 12:23,Pending,40,20,45,8.198935751,0.273297858,,
37,291,"Unit 9145 Box 2900
DPO AP 58203",40.750113,-73.980929,20/08/2023 18:37,Pending,1,5,1,4.653446014,0.155114867,,
38,460,"9249 William Ways
Ricemouth, MT 95862",40.744297,-73.999769,08/09/2023 01:45,Delivered,17,9,62,3.537088003,0.117902933,52:53.5,08/09/2023 01:52
39,130,"4701 Kathleen Via Apt. 104
Lozanobury, SD 18373",40.776636,-73.991166,11/09/2023 10:51,Pending,28,9,37,7.198783947,0.239959465,,
40,177,"74395 Jennings Corners Suite 689
New Samuel, VI 65467",40.791844,-73.993783,29/08/2023 02:05,Pending,36,19,31,8.838191721,0.294606391,,
41,30,"68071 Garcia Squares
West Christy, UT 04210",40.77123,-73.986846,19/08/2023 22:30,Delivered,30,3,70,6.687229222,0.222907641,43:22.5,19/08/2023 22:43
42,358,"947 Jose Expressway
Lake Emily, IN 80405",40.79287,-73.996668,01/09/2023 05:27,Delivered,3,5,92,8.92655949,0.297551983,44:52.2,01/09/2023 05:44
43,342,"22827 Rebecca Crossroad Suite 960
Elizabethton, MN 96476",40.723178,-73.981014,23/08/2023 15:11,Pending,31,18,71,2.405215704,0.080173857,,
44,456,"716 Joshua Green
Washingtonport, KS 00943",40.767819,-73.988358,20/08/2023 05:18,Pending,42,2,22,6.288887878,0.209629596,,
45,202,"8144 Mark Street
Lake Gregory, GU 37343",40.766107,-73.990102,24/08/2023 21:49,Delivered,10,12,82,6.070077726,0.202335924,01:08.4,24/08/2023 22:01
46,106,"30399 Isaac Isle
Janicemouth, SC 15628",40.744907,-73.990155,24/08/2023 16:23,Pending,17,11,37,3.808428824,0.126947627,,
47,95,"45821 Castillo Well Apt. 051
Smithport, NY 47082",40.720639,-73.99993,14/09/2023 04:03,Delivered,9,2,88,1.010362381,0.033678746,05:12.2,14/09/2023 04:05
48,161,"4191 Shepherd Dam Apt. 302
North Courtneychester, AR 48373",40.785626,-73.985964,25/08/2023 01:03,Pending,14,18,56,8.262383482,0.275412783,,
49,321,"7403 Flores Manor Apt. 570
Sheltonburgh, VI 34371",40.746312,-73.997798,21/08/2023 17:00,Delivered,33,11,15,3.78541764,0.126180588,07:44.2,21/08/2023 17:07
50,471,"4106 Tiffany Manors
Jonesshire, CT 25721",40.729171,-74.001673,28/08/2023 06:53,Pending,23,4,84,1.854369356,0.061812312,,
51,136,"771 Mark Branch Apt. 651
Stewartshire, MH 77852",40.740381,-73.988275,31/08/2023 02:58,Pending,50,9,80,3.409291999,0.113643067,,
52,464,"3544 Ward Lake
Richardshire, MS 13904",40.756753,-73.999523,25/08/2023 10:38,Pending,29,14,27,4.911496039,0.163716535,,
53,75,"7689 Gardner Pass
Melissaburgh, VI 35369",40.710827,-73.996147,29/08/2023 16:22,Delivered,36,10,19,0.860930017,0.028697667,24:16.3,29/08/2023 16:24
54,374,"115 Matthew Cove
Loweryport, NH 07479",40.718179,-73.98347,22/08/2023 21:15,Pending,44,19,46,1.99520686,0.066506895,,
55,344,"82761 Joseph Extension
Estradaside, AK 56968",40.70684,-73.984676,25/08/2023 22:16,Delivered,49,17,27,1.919647049,0.063988235,20:41.4,25/08/2023 22:20
56,125,"323 Smith Valley
South Nichole, DC 19092",40.718613,-73.986271,09/09/2023 19:24,Pending,10,14,14,1.787635301,0.059587843,,
57,378,"0005 Lopez Radial Apt. 347
West Cynthia, MT 61276",40.753609,-73.979893,20/08/2023 16:37,Pending,14,8,81,5.039908503,0.16799695,,
58,23,"12445 Oscar Shores
West Wandamouth, TX 12827",40.715833,-73.99145,02/09/2023 10:10,Delivered,36,7,82,1.274737997,0.042491267,13:08.0,02/09/2023 10:13
59,456,"5408 Isaac Island
Lake Kathryn, ND 03647",40.758742,-73.984697,10/09/2023 05:43,Delivered,17,19,24,5.409852014,0.1803284,53:58.2,10/09/2023 05:53
60,281,"20313 Fleming Roads Apt. 145
Claudiamouth, MI 54317",40.76976,-73.990848,28/08/2023 10:02,Pending,24,20,58,6.453515199,0.215117173,,
61,408,"465 Justin Pine
East Vincent, MD 04222",40.698825,-73.987657,13/09/2023 20:51,Pending,23,8,100,2.193468317,0.073115611,,
62,183,"3630 Smith Locks Suite 120
Lake Jacobside, RI 45512",40.734715,-73.982825,21/08/2023 09:25,Pending,18,17,4,3.12347943,0.104115981,,
63,127,"4115 Kimberly Glens Apt. 594
Lake Patrickton, MO 97453",40.720144,-73.981928,07/09/2023 06:21,Delivered,20,17,48,2.191365385,0.073045513,25:23.0,07/09/2023 06:25
64,139,"9648 Mitchell Via Apt. 427
North Justinbury, PW 05078",40.777164,-73.98913,21/08/2023 19:56,Pending,44,7,100,7.288186976,0.242939566,,
65,445,"Unit 1212 Box 3389
DPO AP 05965",40.720944,-73.982724,06/09/2023 08:42,Delivered,13,19,75,2.16466079,0.07215536,47:08.8,06/09/2023 08:47
66,227,"86011 Jacob Manor
Matthewfurt, KY 85691",40.751368,-73.986677,06/09/2023 03:04,Delivered,37,20,1,4.583437762,0.152781259,13:24.0,06/09/2023 03:13
67,296,"11593 Evans View
Mollybury, KS 58256",40.779341,-73.989607,07/09/2023 10:14,Delivered,6,7,4,7.517897873,0.250596596,29:08.1,07/09/2023 10:29
68,227,"956 Kyle Extension Suite 356
Johnsonland, VI 68751",40.73577,-73.981899,28/08/2023 15:46,Pending,29,5,27,3.26381528,0.108793843,,
69,225,"9247 Christine Greens
New Kevin, AS 78309",40.745612,-73.990888,01/09/2023 18:56,Delivered,6,20,8,3.860903128,0.128696771,03:49.3,01/09/2023 19:03
70,126,"8176 Angela Pine
New Derek, ME 80445",40.767746,-73.986193,01/09/2023 03:32,Pending,8,4,86,6.326890609,0.210896354,,
71,476,"934 Kimberly Center
East Danielleview, WI 62352",40.777131,-73.980987,09/09/2023 22:36,Pending,8,20,6,7.449706001,0.248323533,,
72,348,"28492 Brown Junctions Suite 926
Monicaburgh, CA 43713",40.72369,-73.988267,20/08/2023 09:16,Delivered,8,6,93,1.92545213,0.064181738,20:44.1,20/08/2023 09:20
73,393,"452 Sherry Trail
East Nicholasfurt, GA 78752",40.710968,-73.997578,18/08/2023 22:08,Pending,39,11,99,0.740170536,0.024672351,,
74,124,"161 Padilla Street Apt. 073
Hansenberg, IA 13944",40.74989,-73.986728,10/09/2023 03:47,Pending,15,20,71,4.428875086,0.14762917,,
75,354,"59139 Moore Hill
Denisemouth, CT 65937",40.745492,-73.997681,20/08/2023 09:21,Pending,30,10,5,3.697800037,0.123260001,,
76,442,"62126 Wells Mountain
West Michaelmouth, IL 20007",40.712015,-73.994599,18/08/2023 02:45,Pending,3,14,58,0.967318437,0.032243948,,
77,464,"0187 Rick Haven
Port Kenneth, NM 20705",40.794085,-73.983979,25/08/2023 00:44,Pending,20,18,78,9.216195451,0.307206515,,
78,415,"933 Susan Light Apt. 888
West Jeffreystad, MD 12857",40.789453,-73.981587,22/08/2023 16:11,Delivered,10,14,80,8.758364208,0.291945474,28:39.0,22/08/2023 16:28
79,355,"9137 Erickson Burgs
Kathyborough, ME 49816",40.76815,-73.987208,05/09/2023 15:04,Pending,17,5,1,6.348190959,0.211606365,,
80,395,"94734 Victoria Glen
West Jacquelineport, PW 99183",40.777924,-74.001712,17/08/2023 21:50,Delivered,7,14,31,7.241016598,0.24136722,04:31.9,17/08/2023 22:04
81,16,"52868 Johnson Knoll Suite 705
Fowlerchester, IN 44860",40.753827,-73.98192,07/09/2023 12:08,Delivered,19,8,93,4.989464114,0.16631547,18:34.7,07/09/2023 12:18
82,322,"339 Roberts Point
Brianstad, MI 86937",40.713409,-74.002476,11/09/2023 01:21,Delivered,15,6,92,0.305357376,0.010178579,22:24.6,11/09/2023 01:22
83,247,"0808 Green Trail
Fisherfort, AL 65328",40.761482,-74.001485,07/09/2023 20:08,Pending,47,19,34,5.419514665,0.180650489,,
84,269,"88147 Clark Freeway
Port Jessica, NC 82953",40.772454,-73.986732,10/09/2023 12:39,Delivered,9,11,91,6.821482704,0.227382757,53:17.6,10/09/2023 12:53
85,156,"PSC 1185, Box 0655
APO AP 03514",40.716196,-73.988898,31/08/2023 05:17,Pending,6,3,80,1.4934689,0.049782297,,
86,4,"087 Coleman Grove
East Stevenfurt, UT 66837",40.707434,-73.981795,06/09/2023 07:29,Delivered,15,7,21,2.130420757,0.071014025,33:48.6,06/09/2023 07:33
87,391,"00570 Jones Rest
South James, AR 77424",40.759549,-73.980441,09/09/2023 15:45,Delivered,29,7,70,5.622452388,0.18741508,56:39.7,09/09/2023 15:56
88,110,"00900 Kristin Forest Suite 677
Port Bethany, NY 37770",40.700767,-73.993007,20/08/2023 00:55,Pending,22,18,36,1.729493466,0.057649782,,
89,238,"403 Eric Green Suite 025
East Grant, NJ 01984",40.796634,-73.9853,19/08/2023 20:16,Pending,26,14,87,9.472385075,0.315746169,,
90,401,"713 Michael Park Suite 871
Katherinefurt, CA 45323",40.781471,-73.998218,09/09/2023 10:08,Pending,1,6,71,7.65411711,0.255137237,,
91,397,"67874 Henry Cape
North Randy, MO 39380",40.776595,-73.986305,14/09/2023 14:44,Delivered,15,9,72,7.277036142,0.242567871,59:31.2,14/09/2023 14:59
92,302,"736 Anthony Mews
Sandersside, MS 57778",40.761515,-74.00097,19/08/2023 13:39,Pending,4,11,58,5.426402868,0.180880096,,
93,476,"286 Tristan Ville
North Deanberg, AK 61772",40.72648,-73.99591,15/08/2023 22:01,Delivered,19,6,59,1.742002165,0.058066739,05:20.0,15/08/2023 22:05
94,389,"PSC 3323, Box 7884
APO AP 89018",40.781182,-74.000927,11/09/2023 00:52,Pending,25,4,70,7.605831149,0.253527705,,
95,425,"098 Hamilton Knoll Suite 980
Danielsmouth, AS 89380",40.732688,-73.9984,03/09/2023 18:04,Pending,25,20,19,2.29998093,0.076666031,,
96,354,"280 Velez Gateway Suite 595
Davidborough, VA 97254",40.788888,-73.986493,26/08/2023 11:52,Pending,44,2,34,8.608600472,0.286953349,,
97,338,"098 Kim Well
South Danielle, AR 81414",40.787532,-73.987906,12/09/2023 00:43,Pending,33,3,88,8.438429213,0.281280974,,
98,125,"6468 Walters Ville
Loganbury, IL 71586",40.761232,-73.982732,08/09/2023 14:35,Pending,42,2,65,5.726181859,0.190872729,,
99,333,"57274 Frank Trail
Jeremiahburgh, NE 85326",40.721507,-73.983628,07/09/2023 19:24,Pending,8,4,49,2.123231406,0.07077438,,
100,77,"654 Christine Forges Suite 707
Shanebury, GU 81199",40.782246,-73.985142,09/09/2023 09:57,Delivered,30,19,52,7.910543765,0.263684792,13:12.3,09/09/2023 10:13
101,50,"94999 Cynthia Gardens
Lake Tamaraport, RI 01177",40.761522,-73.999602,02/09/2023 09:33,Pending,30,4,75,5.437444538,0.181248151,,
102,85,"676 Randy Plaza
Lake Kim, NC 39631",40.768145,-74.001914,23/08/2023 21:48,Delivered,17,11,29,6.155683389,0.205189446,00:42.7,23/08/2023 22:00
103,411,"0989 Michael Circle Apt. 233
Cherylview, WI 03809",40.759275,-73.995114,02/09/2023 22:09,Pending,39,10,3,5.242271099,0.17474237,,
104,373,"3300 Guerrero Corners Suite 924
Bowmanhaven, AR 20446",40.735699,-73.981979,28/08/2023 20:04,Pending,37,5,11,3.253437443,0.108447915,,
105,13,"5992 Elizabeth Lane Suite 633
North Brianland, WI 83164",40.725245,-73.993284,13/09/2023 22:46,Pending,33,2,27,1.750497251,0.058349908,,
106,100,"29039 Woods Locks Suite 176
Lake Richardside, OH 54852",40.796039,-73.985952,09/09/2023 14:45,Pending,21,9,19,9.397379431,0.313245981,,
107,410,"114 Riley Drive
Goodport, MO 50540",40.769057,-73.986061,31/08/2023 20:53,Delivered,29,19,68,6.470297801,0.215676593,06:18.4,31/08/2023 21:06
108,173,"069 Rowe Club
East Javier, MD 89140",40.731172,-74.000908,23/08/2023 02:02,Pending,11,4,7,2.085049537,0.069501651,,
109,220,"USCGC Brandt
FPO AE 16546",40.723106,-73.989928,28/08/2023 14:36,Delivered,35,19,21,1.775916534,0.059197218,40:14.1,28/08/2023 14:40
110,172,"505 Martinez Throughway
Schmittshire, NV 68639",40.76622,-73.993977,24/08/2023 17:43,Pending,42,3,98,6.018526718,0.200617557,,
111,141,"62038 Ross Bypass
Jackton, NM 66230",40.732,-73.995214,10/09/2023 22:44,Delivered,13,6,39,2.318710054,0.077290335,49:26.2,10/09/2023 22:49
112,258,"117 Smith Hill Suite 492
New Heatherberg, IN 18885",40.726041,-73.980375,05/09/2023 02:23,Pending,39,7,76,2.617179863,0.087239329,,
113,371,"11123 Thomas Lodge
Mendozachester, AR 49448",40.735129,-73.991867,21/08/2023 09:54,Pending,3,14,30,2.752115677,0.091737189,,
114,10,"793 Brad Glen
New Anna, ME 18085",40.713004,-73.989454,18/08/2023 22:11,Pending,44,2,44,1.398307266,0.046610242,,
115,80,"837 Taylor Tunnel Apt. 337
Gonzalezview, PR 49030",40.718673,-73.982339,24/08/2023 01:41,Delivered,22,19,90,2.102938877,0.070097963,45:25.4,24/08/2023 01:45
116,14,"12335 Hernandez Mall Apt. 733
Lake Audreymouth, SD 74548",40.770627,-73.988613,24/08/2023 05:05,Delivered,22,7,49,6.587406832,0.219580228,18:25.5,24/08/2023 05:18
117,41,"Unit 9876 Box 6941
DPO AE 50694",40.756951,-74.001795,30/08/2023 18:42,Pending,38,6,60,4.915764844,0.163858828,,
118,114,"USCGC Patterson
FPO AP 68895",40.766682,-73.994579,13/09/2023 01:31,Pending,33,11,13,6.060800562,0.202026685,,
119,94,"558 Raymond Knoll Suite 595
New Joshuaside, OR 90921",40.742134,-73.991624,13/09/2023 00:48,Pending,23,6,37,3.476537361,0.115884579,,
120,84,"32590 Ray Canyon
Lake Jasontown, SC 04949",40.780997,-73.992064,13/09/2023 13:56,Delivered,13,18,84,7.664123834,0.255470794,12:06.7,13/09/2023 14:12
121,397,"8608 Nunez Track
North Jessicafurt, CT 09509",40.710968,-74.002204,22/08/2023 09:23,Delivered,30,20,88,0.379838792,0.012661293,24:44.6,22/08/2023 09:24
122,208,"19472 Michael Rapid Apt. 536
Lake Annastad, AR 49898",40.790645,-73.992116,19/08/2023 00:10,Pending,4,17,74,8.723771565,0.290792385,,
123,85,"93259 Angela Meadows Apt. 327
South Theodoreside, AK 12663",40.701829,-73.982348,12/09/2023 04:24,Pending,49,18,58,2.340779836,0.078025995,,
124,10,"17231 Ford Shores
Stevenshire, PR 21809",40.727791,-73.983367,28/08/2023 16:48,Pending,15,2,5,2.535360618,0.084512021,,
125,401,"5585 Bishop Club
North Doris, GA 26846",40.789183,-73.983361,06/09/2023 15:13,Delivered,28,1,8,8.695061768,0.289835392,30:23.4,06/09/2023 15:30
126,279,"595 Jeffrey Turnpike Suite 612
Patrickport, WV 07302",40.73398,-74.000606,30/08/2023 11:29,Delivered,28,5,12,2.395750949,0.079858365,34:21.5,30/08/2023 11:34
127,472,"215 Jason Manor Suite 266
Anitaborough, PA 65019",40.745429,-73.983916,10/09/2023 14:24,Delivered,35,18,36,4.07549335,0.135849778,32:43.1,10/09/2023 14:32
128,72,"PSC 7860, Box 0977
APO AP 40348",40.750911,-73.986674,12/09/2023 13:32,Pending,5,14,20,4.536144897,0.15120483,,
129,364,"849 Laura Cape
Bookerside, MP 70371",40.735691,-74.00218,09/09/2023 02:40,Delivered,37,2,30,2.562418105,0.085413937,45:13.5,09/09/2023 02:45
130,390,"Unit 5524 Box 8356
DPO AP 49509",40.703872,-73.993629,30/08/2023 21:27,Delivered,23,5,21,1.440775982,0.048025866,30:17.9,30/08/2023 21:30
131,363,"5125 Jacobs Meadows Apt. 414
Andersontown, OH 28396",40.741181,-74.001001,19/08/2023 02:46,Pending,38,10,41,3.179840909,0.105994697,,
132,189,"167 Dylan Pass
Rachelchester, AR 58282",40.707265,-73.987568,07/09/2023 10:32,Pending,43,2,95,1.674448728,0.055814958,,
133,239,"50308 Figueroa Crossing Apt. 199
Kimmouth, AR 42320",40.798415,-73.987764,19/08/2023 19:45,Pending,36,8,30,9.631382243,0.321046075,,
134,66,"5076 Moody Locks
Johnside, WA 57259",40.724424,-73.992637,24/08/2023 18:54,Delivered,38,5,64,1.714942059,0.057164735,57:26.8,24/08/2023 18:57
135,411,"5638 Cynthia Oval Apt. 031
Port Rachael, KS 42744",40.724983,-73.981566,25/08/2023 11:24,Delivered,16,6,42,2.468274278,0.082275809,29:10.2,25/08/2023 11:29
136,402,"7890 Brett Grove
West Gregory, MA 28519",40.741148,-73.991671,15/08/2023 22:47,Delivered,6,5,23,3.372734608,0.112424487,54:22.7,15/08/2023 22:54
137,366,"86470 Colin Islands
South Amberfort, AS 53696",40.708295,-73.993226,20/08/2023 09:51,Pending,27,17,72,1.189724159,0.039657472,,
138,240,"09463 Elizabeth Burg
Joshuaborough, FM 74150",40.757705,-74.000165,02/09/2023 05:01,Pending,24,3,9,5.010945795,0.167031526,,
139,267,"PSC 7775, Box 2648
APO AA 75972",40.716583,-74.000325,16/08/2023 10:07,Delivered,1,5,6,0.637510991,0.021250366,08:59.5,16/08/2023 10:08
140,262,"50662 Morales Fall Apt. 677
Hicksberg, KS 10002",40.736114,-73.981899,06/09/2023 01:52,Pending,16,19,100,3.293753513,0.109791784,,
141,133,"USCGC Malone
FPO AE 70319",40.74528,-73.9907,01/09/2023 01:52,Pending,15,4,78,3.831457681,0.127715256,,
142,268,"622 Cole Row
Andrealand, AL 58748",40.707584,-73.980592,21/08/2023 14:23,Pending,7,5,99,2.223802456,0.074126749,,
143,22,"784 Wilson Greens
Sandersport, WA 50280",40.72125,-73.981033,20/08/2023 05:07,Delivered,18,6,90,2.308845456,0.076961515,12:05.1,20/08/2023 05:12
144,245,"USNS Gilmore
FPO AE 12640",40.737854,-73.988441,24/08/2023 20:49,Pending,48,3,12,3.152984708,0.10509949,,
145,483,"437 Jennifer Oval
Port John, PR 63947",40.76431,-73.994045,03/09/2023 08:34,Delivered,12,2,26,5.808575137,0.193619171,45:55.0,03/09/2023 08:45
146,98,"5015 Joseph Ports
Port Bettytown, IL 42762",40.73022,-73.986944,08/09/2023 12:37,Pending,25,14,39,2.516800807,0.08389336,,
147,52,"33100 Samantha Lodge Apt. 967
North Mackenziestad, NY 32416",40.725884,-73.996079,20/08/2023 02:40,Pending,27,1,30,1.677416863,0.055913895,,
148,259,"88933 Randy Fords Suite 674
Scotthaven, CT 56829",40.758725,-73.995833,27/08/2023 11:01,Delivered,15,4,53,5.171721186,0.172390706,12:17.6,27/08/2023 11:12
149,360,"42008 Garrett Terrace
New Audrey, SC 69658",40.707921,-73.999599,07/09/2023 02:40,Pending,30,18,12,0.765588075,0.025519603,,
150,452,"USNV Gonzalez
FPO AP 51703",40.777916,-74.002468,22/08/2023 19:14,Pending,5,7,12,7.237216434,0.241240548,,
151,207,"978 Michael Cliff Suite 492
New Jamesstad, MT 18297",40.751753,-73.985988,03/09/2023 12:19,Pending,38,8,30,4.644279909,0.15480933,,
152,79,"USNS Ponce
FPO AP 47234",40.712061,-73.991482,13/09/2023 03:52,Pending,40,2,19,1.229509825,0.040983661,,
153,182,"70154 Tracy Isle
East Jasontown, OR 37314",40.786868,-74.000291,16/08/2023 06:01,Delivered,10,9,83,8.239301691,0.27464339,17:37.7,16/08/2023 06:17
154,396,"26261 Gilbert Grove
Lake Juanville, OR 50314",40.740609,-73.986611,30/08/2023 04:17,Delivered,16,4,89,3.495679737,0.116522658,24:35.5,30/08/2023 04:24
155,214,"5239 Max Walk
Priceville, IL 63127",40.713688,-73.987725,05/09/2023 01:24,Pending,48,2,78,1.547360321,0.051578677,,
156,268,"PSC 1070, Box 3646
APO AA 72806",40.764915,-73.984108,27/08/2023 06:10,Pending,30,3,2,6.075548128,0.202518271,,
157,145,"04819 Tyler Shore Apt. 819
Melanieville, MI 38594",40.748095,-73.988326,21/08/2023 13:04,Pending,45,7,41,4.194208593,0.139806953,,
158,329,"367 Johnson Estates Suite 290
South Kevinland, CO 94653",40.747581,-73.99534,24/08/2023 03:14,Pending,33,5,32,3.965976174,0.132199206,,
159,151,"1849 Peters Highway
West Brittanystad, GU 84212",40.737438,-73.985035,25/08/2023 10:19,Delivered,15,5,52,3.259284583,0.108642819,25:31.1,25/08/2023 10:25
160,397,"094 Gaines Squares Apt. 078
Smithburgh, MN 46456",40.715525,-73.993758,04/09/2023 07:11,Pending,17,7,22,1.077773166,0.035925772,,
161,223,"658 Brian Springs
Coxtown, WV 96376",40.77017,-74.001878,06/09/2023 05:26,Delivered,33,12,83,6.380382186,0.212679406,39:24.6,06/09/2023 05:39
162,339,"87534 Rush Isle Suite 344
Calhounborough, CA 70673",40.791501,-73.991642,18/08/2023 20:09,Pending,29,8,28,8.823387745,0.294112925,,
163,217,"8984 Deborah Shore
West Brandontown, PA 49218",40.735052,-73.979713,08/09/2023 09:23,Pending,14,19,79,3.322399639,0.110746655,,
164,463,"083 Sarah Fort Apt. 378
North Christopher, AS 95741",40.784225,-73.990212,08/09/2023 18:48,Pending,44,14,16,8.042970632,0.268099021,,
165,88,"1312 Roberson Trafficway
South Adam, NY 70366",40.788398,-73.988968,27/08/2023 19:11,Pending,32,1,83,8.517420549,0.283914018,,
166,133,"611 Blankenship Dam Apt. 234
North Michael, VI 57804",40.766721,-73.984988,12/09/2023 08:23,Pending,24,17,42,6.245350559,0.208178352,,
167,475,"90070 Pineda Lights Apt. 466
West Tylermouth, ME 78472",40.790686,-73.986436,06/09/2023 07:12,Pending,21,7,65,8.805558675,0.293518622,,
168,135,"93832 Andrew Squares
Tonyhaven, CT 60354",40.776083,-73.999072,10/09/2023 21:10,Pending,35,9,39,7.051830087,0.235061003,,
